paper_type,revenue,returned_at,review,shipping_address,shipping_latitude,shipping_longitude,shipping_mode,order_id,purchased_at,status,cancelled_at,product_id,product_name,price,discount,shipping_cost,quantity,business_size,payment_cycle,account_id,account_name,order_contact_name,order_contact_email,account_manager,days_to_close,shipping_city,shipping_state,shipping_zip,shipping_region,days_to_ship,reviewed_at,rating,index,Sentimental Analysis
Kraft Roll,7198.8,,5 stars!!!,7 Welch Road,36.649344,-97.35032,EXPRESS,054e942f-a659-42b6-9921-147e5f57f3aa,26-06-2021 12:47,COMPLETED,,310-36-40,"Delta Paper Butcher Paper Roll, White, 40 lbs., 36"" x 1000', 1 Roll",59.99,2.4,100,120,920,WEEK,60906229fc13ae0a6b0000aa,Green and Sons,Fuchsia Deer,fuchsia@green.com,Kelly Kapoor,16,New Jovanimouth,PA,74682,Northeast,1,24-07-2021 11:06,5,15,Positive
Kraft Roll,1068,,5 stars!!!,6726 Arapahoe Lane,37.12149,-107.885499,EXPRESS,10469bba-6b0a-46f6-9fc1-a8c4f8f56b04,02-11-2021 14:26,COMPLETED,,C2130240ST,"Delta Paper Kraft Paper Roll, Brown, 30 lbs., 24"" x 1200', 1 Roll",35.6,6.76,100,30,408,ANNUAL,60906229fc13ae0a6b0000ca,Tillman-Gerlach,Jambette Frog,jambette@tillman-gerlach.com,Kelly Kapoor,50,South Codymouth,CT,81310,Northeast,0,14-11-2021 06:17,5,5,Positive
Printer,1450.9,,5 stars!!!,80924 Crownhardt Alley,38.954149,-86.385977,EXPRESS,6aa5a3e8-bdaf-4450-a96d-0882d1068583,01-09-2021 05:50,COMPLETED,,20270,"Astrobrights Color Paper, 24 lb./89 gsm, Neon 5-Color Assortment, 500 Sheets/Pack",13.19,,100,110,438,BIWEEK,60906229fc13ae0a6b00023f,"Fadel, Emard and Huels",Hamphrey Hamster,hamphrey@fadel.com,Ryan Howard,31,Huelhaven,WY,47436,West,7,18-09-2021 21:40,5,3,Positive
Copy,172680,,5 stars!!!,9848 Killdeer Trail,29.650534,-98.338421,EXPRESS,74f7f2d0-efee-416e-a7c5-d33ed0f2b1b2,18-09-2021 17:05,COMPLETED,,324791-LQO,"Copy Paper, 20 lbs., 92 Brightness, 500 Sheets/Ream, 40 Cases/Pallet",1439,,100,120,482,BIWEEK,60906229fc13ae0a6b00038b,Hahn PLC,Benjamin Dog,benjamin@hahn.com,Erin Hannon,137,Balistreriview,MT,78293,West,7,05-10-2021 09:25,5,5,Positive
Multipurpose,324540,,5 stars!!!,9 Darwin Point,38.194886,-103.861345,EXPRESS,77576e37-03bf-4123-9be7-80d1e54b20f9,19-05-2021 04:10,COMPLETED,,TR56962-LQO,"TRU RED,¢ Multipurpose Paper, 20 lbs., 96 Bright, 500 /Ream, 10 Reams/Carton, 40 Cartons/Pallet",1803,,100,180,70,MONTH,60906229fc13ae0a6b000329,Bode and Sons,Robin Bird,robin@bode.com,Phyllis Vance,109,Lednerberg,ME,81033,Northeast,1,04-06-2021 15:41,5,4,Positive
Printer,2259.3,,5 stars!!!,40 Lindbergh Park,39.395154,-101.061478,EXPRESS,7c8c8e9e-9f01-4093-a582-60d6bd300120,26-09-2021 19:15,COMPLETED,,191259,"JAM Paper Strathmore 24lb Paper, 8.5 x 11, Ivory Wove, 100 Sheets/Pack",13.29,,100,170,837,BIWEEK,60906229fc13ae0a6b000238,Bergnaum Ltd,Nan Goat,nan@bergnaum.com,Phyllis Vance,105,South Emmanuelle,WV,67726,South,3,12-10-2021 19:00,5,15,Positive
Cardstock,369,,5 stars!!!,3905 Namekagon Pass,40.500795,-74.427911,REGULAR,7f41161c-ded7-43f1-8e04-810e1fbf75ff,25-10-2021 16:13,COMPLETED,,91335,"Neenah Paper Creative Collection Basic 8.5"" x 11"" Cardstock Paper, 65 lbs., 50 Sheets/Pack",3.69,,,100,235,BIWEEK,60906229fc13ae0a6b0001bc,Sanford-Douglas,Francine Rabbit,francine@sanford-douglas.com,Ryan Howard,36,North Savionfurt,CA,9516,West,9,06-11-2021 20:18,5,5,Positive
Printer,527.6,,5 stars!!!,3 Donald Court,35.676177,-108.758564,EXPRESS,babfd527-f5e2-40f5-9c91-794705a9b557,26-08-2021 01:51,COMPLETED,,20270,"Astrobrights Color Paper, 24 lb./89 gsm, Neon 5-Color Assortment, 500 Sheets/Pack",13.19,,100,40,418,ANNUAL,60906229fc13ae0a6b000006,Kling-Keeling,Shep Dog,shep@kling-keeling.com,Michael Scott,44,South Raleighbury,TN,87399,South,3,19-09-2021 18:25,5,1,Positive
Multipurpose,460018,,5 stars!!!,9 Vermont Terrace,48.595028,-103.732864,REGULAR,d9b22f7d-4389-4f93-8d85-820163e5d603,31-10-2021 11:44,COMPLETED,,2700-LQO,"EarthChoice Multipurpose Paper, 20 lbs., 92 Brightness, 40 Cases/Pallet",2300.09,,,200,1850,WEEK,60906229fc13ae0a6b000364,"Metz, Doyle and Greenholt",Sly Alligator,sly@metz.com,Phyllis Vance,3,VonRuedenhaven,AL,58957,South,6,26-11-2021 08:08,5,11,Positive
Multipurpose,7819,,5 stars!!!,67 Brickson Park Park,37.695426,-78.637777,REGULAR,dd2d5734-e8b0-4961-9e7e-eb82dc552bcc,14-04-2021 16:09,COMPLETED,,OX9001,"Boise X-9 Multipurpose Paper, 20 lbs., 92 Brightness, 500 Sheets/Ream, 10 Reams/Carton",78.19,,,100,793,WEEK,60906229fc13ae0a6b00031b,"Homenick, Dietrich and Kuhn",Caroline Squirrel,caroline@homenick.com,Ryan Howard,112,Friesenstad,FL,24562,South,7,24-04-2021 23:50,5,11,Positive
Multipurpose,7819,,5 stars!!!,9359 Sauthoff Center,42.141638,-106.630301,REGULAR,ee0c1f1e-7da7-4452-80ef-6fa770bce807,14-10-2021 20:49,COMPLETED,,OX9001,"Boise X-9 Multipurpose Paper, 20 lbs., 92 Brightness, 500 Sheets/Ream, 10 Reams/Carton",78.19,,,100,594,WEEK,60906229fc13ae0a6b00001f,"Conroy, Williamson and Jast",Melba Koala,melba@conroy.com,Stanley Hudson,98,New Desmond,TN,82328,South,5,04-11-2021 18:54,5,9,Positive
Printer,1860.6,,5 stars!!!,4 Hansons Parkway,41.102896,-80.761275,EXPRESS,f8c320aa-dcd6-4eb9-9811-91577f6d8e66,23-01-2021 20:10,COMPLETED,,191259,"JAM Paper Strathmore 24lb Paper, 8.5 x 11, Ivory Wove, 100 Sheets/Pack",13.29,,100,140,91,MONTH,60906229fc13ae0a6b00037f,"Kautzer, Ullrich and Boyle",Timbra Sheep,timbra@kautzer.com,Kevin Malone,96,Conroytown,FL,44546,South,4,13-02-2021 12:44,5,6,Positive
Multipurpose,10946.6,,5 stars!!!,11 Hollow Ridge Road,36.187509,-79.817677,EXPRESS,fe94a583-dae6-4f2e-a9ee-5ea7b039f7fa,04-12-2021 05:50,COMPLETED,,OX9001,"Boise X-9 Multipurpose Paper, 20 lbs., 92 Brightness, 500 Sheets/Ream, 10 Reams/Carton",78.19,,100,140,834,WEEK,60906229fc13ae0a6b000352,Hettinger-Kuvalis,Broffina Chicken,broffina@hettinger-kuvalis.com,Angela Martin,60,Feilchester,WV,27489,South,3,01-01-2022 03:40,5,8,Positive
Kraft Roll,4199.3,,Account manager was not responsive,2037 Fairfield Terrace,52.213091,-174.215643,REGULAR,02744930-0038-4bdb-b984-0af353851049,20-11-2021 08:28,COMPLETED,,310-36-40,"Delta Paper Butcher Paper Roll, White, 40 lbs., 36"" x 1000', 1 Roll",59.99,12,,70,127,MONTH,60906229fc13ae0a6b000069,Oberbrunner-Prohaska,Nate Bear,nate@oberbrunner-prohaska.com,Pam Beesly,45,Port Camyllefort,NY,99547,Northeast,3,07-12-2021 09:40,3,9,Negative
Multipurpose,9898.5,,Account manager was not responsive,53766 Waubesa Drive,34.301882,-94.318986,REGULAR,15da56d8-1627-4f38-b475-0d6d796172b0,19-04-2021 07:49,COMPLETED,,3R02047,"Xerox Vitality Multipurpose Paper, 8.5"" x 11"", 20 lbs., White, 500 Sheets/Ream, 10 Reams/Carton",65.99,1.32,,150,942,WEEK,60906229fc13ae0a6b0001ea,"Yundt, Wuckert and Corkery",Tex Penguin,tex@yundt.com,Andy Bernard,0,West Julietmouth,NJ,71990,Northeast,2,03-05-2021 04:42,3,2,Negative
Copy,14390,,Account manager was not responsive,23 Charing Cross Crossing,35.701353,-96.884595,EXPRESS,240cd572-f444-43de-b3cd-87a8434e44ab,13-07-2021 20:54,COMPLETED,,324791-LQO,"Copy Paper, 20 lbs., 92 Brightness, 500 Sheets/Ream, 40 Cases/Pallet",1439,,100,10,812,ANNUAL,60906229fc13ae0a6b0002b9,Fritsch Group,Piper Bird,piper@fritsch.com,Dwight Schrute,6,Lake Eldon,UT,74834,West,7,29-07-2021 09:22,3,8,Negative
Cardstock,10313.4,,Account manager was not responsive,349 Springs Terrace,34.851278,-106.011454,REGULAR,40a902a5-45b2-425b-b231-d598370c9f0d,25-08-2021 01:22,COMPLETED,,3R11458,"Xerox Bold 8.5"" x 11"" Cardstock Paper, 80 lbs, 94 Brightness, 250/Ream, 8 Reams/Carton",171.89,27.5,,60,1710,ANNUAL,60906229fc13ae0a6b0002aa,Corkery Ltd,Frank Eagle,frank@corkery.com,Michael Scott,113,North Aubreyview,ME,87033,Northeast,1,22-09-2021 21:02,3,9,Negative
Multipurpose,198330,,Account manager was not responsive,9832 Aberg Park,41.005338,-79.714928,REGULAR,682a2b22-6be8-4c9e-9263-af39ecc67b1b,07-08-2021 23:05,COMPLETED,,TR56962-LQO,"TRU RED,¢ Multipurpose Paper, 20 lbs., 96 Bright, 500 /Ream, 10 Reams/Carton, 40 Cartons/Pallet",1803,,,110,728,WEEK,60906229fc13ae0a6b000180,Metz-Fay,Sylvana Squirrel,sylvana@metz-fay.com,Meredith Palmer,137,West Meggie,TX,16042,South,6,22-08-2021 18:46,3,15,Negative
Copy,57560,,Account manager was not responsive,5 Ohio Avenue,35.89504,-78.923747,REGULAR,79b0eed2-3ef1-42a2-8c2b-5760dda13b1a,12-03-2021 01:17,COMPLETED,,324791-LQO,"Copy Paper, 20 lbs., 92 Brightness, 500 Sheets/Ream, 40 Cases/Pallet",1439,,,40,73,MONTH,60906229fc13ae0a6b000133,Osinski-Swaniawski,Drago Alligator,drago@osinski-swaniawski.com,Meredith Palmer,104,Trevaberg,MT,27767,West,9,11-04-2021 09:56,3,2,Negative
Copy,158290,,Account manager was not responsive,24 Village Place,55.818431,-132.0658,EXPRESS,7ddaad7a-efa4-4524-acf3-06511bf04101,04-01-2021 23:31,COMPLETED,,324791-LQO,"Copy Paper, 20 lbs., 92 Brightness, 500 Sheets/Ream, 40 Cases/Pallet",1439,,100,110,697,WEEK,60906229fc13ae0a6b000381,Hegmann-McCullough,Boone Gorilla,boone@hegmann-mccullough.com,Michael Scott,21,Clementinahaven,NY,99908,Northeast,0,16-01-2021 16:05,3,4,Negative
Printer,2790.9,,Account manager was not responsive,2491 Lawn Alley,36.956532,-82.454034,EXPRESS,9af187af-f363-4733-905d-7da5787e8114,30-12-2021 11:49,COMPLETED,,191259,"JAM Paper Strathmore 24lb Paper, 8.5 x 11, Ivory Wove, 100 Sheets/Pack",13.29,,100,210,695,BIWEEK,60906229fc13ae0a6b000388,"Bode, Halvorson and Keebler",Becky Chicken,becky@bode.com,Phyllis Vance,45,Pouroshaven,LA,24232,South,4,11-01-2022 21:39,3,14,Negative
Kraft Roll,1424,,Account manager was not responsive,101 Mosinee Center,41.586364,-93.487814,EXPRESS,a34c3c03-7f56-4141-94d4-6075dc2891f4,24-02-2021 20:16,COMPLETED,,C2130240ST,"Delta Paper Kraft Paper Roll, Brown, 30 lbs., 24"" x 1200', 1 Roll",35.6,6.76,100,40,352,WEEK,60906229fc13ae0a6b0002f1,Bayer-Wintheiser,Goose Chicken,goose@bayer-wintheiser.com,Dwight Schrute,20,West Edwardfurt,KS,50376,Midwest,1,24-03-2021 02:16,3,13,Negative
Multipurpose,2639.6,,Account manager was not responsive,8012 Bunting Court,44.123302,-88.749906,REGULAR,a3648d8d-8ddb-47d1-997b-83066d73b9d6,23-02-2021 15:04,COMPLETED,,3R02047,"Xerox Vitality Multipurpose Paper, 8.5"" x 11"", 20 lbs., White, 500 Sheets/Ream, 10 Reams/Carton",65.99,4.62,,40,197,BIWEEK,60906229fc13ae0a6b00013e,Lakin-Walter,Baabara Sheep,baabara@lakin-walter.com,Dwight Schrute,7,Colebury,WA,54987,West,7,07-03-2021 10:16,3,3,Negative
Kraft Roll,6408,,Account manager was not responsive,281 School Place,33.376467,-117.066121,EXPRESS,af9a7ec3-5923-49cb-be5d-eda76d800339,15-07-2021 05:06,COMPLETED,,C2130240ST,"Delta Paper Kraft Paper Roll, Brown, 30 lbs., 24"" x 1200', 1 Roll",35.6,6.41,100,180,590,BIWEEK,60906229fc13ae0a6b0000d8,Wisoky and Sons,Astrid Kangaroo,astrid@wisoky.com,Dwight Schrute,117,South Breanneberg,HI,92059,West,7,07-08-2021 02:42,3,13,Negative
Copy,43170,,Account manager was not responsive,8677 Melby Trail,34.074736,-118.145959,EXPRESS,b392a7ce-fc68-4d74-99b9-a4b53b9216a2,09-08-2021 10:13,COMPLETED,,324791-LQO,"Copy Paper, 20 lbs., 92 Brightness, 500 Sheets/Ream, 40 Cases/Pallet",1439,,100,30,260,WEEK,60906229fc13ae0a6b00008c,Veum-Lesch,Egbert Chicken,egbert@veum-lesch.com,Phyllis Vance,101,Kuvalismouth,SC,91876,South,3,08-09-2021 09:44,3,7,Negative
Cardstock,184.5,,Account manager was not responsive,3345 Monterey Lane,42.270542,-123.56742,REGULAR,c54ff838-e373-4895-9121-8dd49b77c625,05-08-2021 03:25,COMPLETED,,91335,"Neenah Paper Creative Collection Basic 8.5"" x 11"" Cardstock Paper, 65 lbs., 50 Sheets/Pack",3.69,,,50,983,ANNUAL,60906229fc13ae0a6b00013a,"Jacobi, Kuhn and Rath",Cally Squirrel,cally@jacobi.com,Oscar Martinez,22,North Elnoraport,SD,97538,Midwest,3,24-08-2021 21:11,3,3,Negative
Kraft Roll,2999.5,,Account manager was not responsive,30 Cordelia Road,29.378839,-96.834601,REGULAR,cf0b2de4-8dd0-4273-b404-166a4a0779b1,30-06-2021 17:46,COMPLETED,,310-36-40,"Delta Paper Butcher Paper Roll, White, 40 lbs., 36"" x 1000', 1 Roll",59.99,0.6,,50,269,WEEK,60906229fc13ae0a6b00012d,Greenfelder-Armstrong,Curt Bear,curt@greenfelder-armstrong.com,Michael Scott,86,North Dejonport,MS,77964,South,5,11-07-2021 08:25,3,1,Negative
